IP,Source,Country,State,Region,City,unknown_1,Latitude,Longitude,unknown_2,unknown_3
51.91.248.152, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
157.230.14.40, GeoIP City Edition, Rev 1: US, GA, Georgia, Duluth, 30097, 34.040798, -84.166496, 524, 770
173.254.225.123, GeoIP City Edition, Rev 1: US, CA, California, Los Angeles, 90014, 34.049400, -118.264099, 803, 213
177.0.108.129, GeoIP City Edition, Rev 1: BR, 27, Sao Paulo, Sao Paulo, N/A, -23.573299, -46.641701, 0, 0
178.128.242.233, GeoIP City Edition, Rev 1: GR, 35, Attiki, Athens, N/A, 37.983299, 23.733299, 0, 0
180.182.47.132, GeoIP City Edition, Rev 1: KR, N/A, N/A, N/A, N/A, 37.511200, 126.974098, 0, 0
180.76.188.98, GeoIP City Edition, Rev 1: CN, 22, Beijing, Beijing, N/A, 39.928902, 116.388298, 0, 0
185.117.119.189, GeoIP City Edition, Rev 1: FI, 13, Southern Finland, Helsinki, 00100, 60.175598, 24.934200, 0, 0
185.156.74.65, GeoIP City Edition, Rev 1: RU, N/A, N/A, N/A, N/A, 55.738602, 37.606800, 0, 0
197.5.145.116, GeoIP City Edition, Rev 1: TN, N/A, N/A, N/A, N/A, 34.000000, 9.000000, 0, 0
51.91.250.197, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
206.189.56.38, GeoIP City Edition, Rev 1: US, CA, California, Irvine, 92612, 33.669498, -117.823097, 803, 949
209.141.54.239, GeoIP City Edition, Rev 1: US, NV, Nevada, Las Vegas, 89101, 36.174999, -115.137199, 839, 702
212.47.238.207, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
212.64.78.151, GeoIP City Edition, Rev 1: CN, 22, Beijing, Beijing, N/A, 39.928902, 116.388298, 0, 0
218.93.207.40, GeoIP City Edition, Rev 1: CN, 04, Jiangsu, Nanjing, N/A, 32.061699, 118.777802, 0, 0
218.93.207.84, GeoIP City Edition, Rev 1: CN, 04, Jiangsu, Nanjing, N/A, 32.061699, 118.777802, 0, 0
221.131.165.119, GeoIP City Edition, Rev 1: CN, N/A, N/A, N/A, N/A, 34.772499, 113.726601, 0, 0
221.131.165.124, GeoIP City Edition, Rev 1: CN, N/A, N/A, N/A, N/A, 34.772499, 113.726601, 0, 0
221.131.165.85, GeoIP City Edition, Rev 1: CN, N/A, N/A, N/A, N/A, 34.772499, 113.726601, 0, 0
221.131.165.86, GeoIP City Edition, Rev 1: CN, N/A, N/A, N/A, N/A, 34.772499, 113.726601, 0, 0
221.181.185.136, GeoIP City Edition, Rev 1: CN, 04, Jiangsu, Nanjing, N/A, 32.061699, 118.777802, 0, 0
221.181.185.141, GeoIP City Edition, Rev 1: CN, 04, Jiangsu, Nanjing, N/A, 32.061699, 118.777802, 0, 0
221.181.185.149, GeoIP City Edition, Rev 1: CN, 04, Jiangsu, Nanjing, N/A, 32.061699, 118.777802, 0, 0
221.181.185.199, GeoIP City Edition, Rev 1: CN, 04, Jiangsu, Nanjing, N/A, 32.061699, 118.777802, 0, 0
221.181.185.200, GeoIP City Edition, Rev 1: CN, 04, Jiangsu, Nanjing, N/A, 32.061699, 118.777802, 0, 0
221.181.185.222, GeoIP City Edition, Rev 1: CN, 04, Jiangsu, Nanjing, N/A, 32.061699, 118.777802, 0, 0
221.181.185.223, GeoIP City Edition, Rev 1: CN, 04, Jiangsu, Nanjing, N/A, 32.061699, 118.777802, 0, 0
221.181.185.29, GeoIP City Edition, Rev 1: CN, 04, Jiangsu, Nanjing, N/A, 32.061699, 118.777802, 0, 0
221.181.185.36, GeoIP City Edition, Rev 1: CN, 04, Jiangsu, Nanjing, N/A, 32.061699, 118.777802, 0, 0
222.187.227.224, GeoIP City Edition, Rev 1: CN, 04, Jiangsu, Nanjing, N/A, 32.061699, 118.777802, 0, 0
222.187.238.87, GeoIP City Edition, Rev 1: CN, 04, Jiangsu, Nanjing, N/A, 32.061699, 118.777802, 0, 0
222.187.238.93, GeoIP City Edition, Rev 1: CN, 04, Jiangsu, Nanjing, N/A, 32.061699, 118.777802, 0, 0
222.239.124.19, GeoIP City Edition, Rev 1: KR, 11, Seoul-t'ukpyolsi, Seoul, N/A, 37.598499, 126.978302, 0, 0
23.249.127.57, GeoIP City Edition, Rev 1: CA, ON, Ontario, Niagara Falls, L2E, 43.053699, -79.101799, 0, 0
2.57.122.149, GeoIP City Edition, Rev 1: IP Address not found
2.57.122.212, GeoIP City Edition, Rev 1: IP Address not found
40.73.67.85, GeoIP City Edition, Rev 1: CN, 23, Shanghai, Shanghai, N/A, 31.045601, 121.399696, 0, 0
40.89.170.224, GeoIP City Edition, Rev 1: FR, A8, Ile-de-France, Paris, 75001, 48.862801, 2.329200, 0, 0
45.116.112.22, GeoIP City Edition, Rev 1: IN, 25, Tamil Nadu, Namakkal, 637001, 11.233300, 78.166702, 0, 0
45.249.71.26, GeoIP City Edition, Rev 1: IN, 28, West Bengal, Kolkata, N/A, 22.569700, 88.369698, 0, 0
60.176.237.81, GeoIP City Edition, Rev 1: CN, 02, Zhejiang, Hangzhou, N/A, 30.293600, 120.161400, 0, 0
62.210.136.99, GeoIP City Edition, Rev 1: FR, A8, Ile-de-France, Asnières, 92600, 48.916698, 2.283300, 0, 0
51.91.111.73, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
2.136.179.77, GeoIP City Edition, Rev 1: ES, 56, Catalonia, Barcelona, 08015, 41.388802, 2.159000, 0, 0
81.161.63.101, GeoIP City Edition, Rev 1: RU, N/A, N/A, N/A, N/A, 55.738602, 37.606800, 0, 0
81.161.63.103, GeoIP City Edition, Rev 1: RU, N/A, N/A, N/A, N/A, 55.738602, 37.606800, 0, 0
81.161.63.251, GeoIP City Edition, Rev 1: RU, N/A, N/A, N/A, N/A, 55.738602, 37.606800, 0, 0
81.71.26.161, GeoIP City Edition, Rev 1: NL, N/A, N/A, N/A, N/A, 52.382401, 4.899500, 0, 0
87.226.165.143, GeoIP City Edition, Rev 1: RU, 48, Moscow City, Moscow, 115304, 55.751999, 37.615002, 0, 0
93.93.195.94, GeoIP City Edition, Rev 1: RS, 00, N/A, Beograd, N/A, 44.818600, 20.468100, 0, 0
217.169.182.206, GeoIP City Edition, Rev 1: CZ, 52, Hlavni mesto Praha, Prague, 140 00, 50.071201, 14.275800, 0, 0
200.29.109.193, GeoIP City Edition, Rev 1: CO, 29, Valle del Cauca, Cali, 760001, 3.437200, -76.522499, 0, 0
86.141.63.175, GeoIP City Edition, Rev 1: GB, N1, St. Helens, Cannock, WS11, 52.683300, -2.016700, 0, 0
51.161.57.117, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
91.121.164.132, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
47.17.177.110, GeoIP City Edition, Rev 1: US, NY, New York, Brooklyn, 11230, 40.622501, -73.966202, 501, 718
157.230.116.65, GeoIP City Edition, Rev 1: US, GA, Georgia, Duluth, 30097, 34.040798, -84.166496, 524, 770
51.91.255.147, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
51.91.248.152, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
51.91.250.197, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
23.249.127.57, GeoIP City Edition, Rev 1: CA, ON, Ontario, Niagara Falls, L2E, 43.053699, -79.101799, 0, 0
62.210.136.99, GeoIP City Edition, Rev 1: FR, A8, Ile-de-France, Asnières, 92600, 48.916698, 2.283300, 0, 0
51.91.111.73, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
2.136.179.77, GeoIP City Edition, Rev 1: ES, 56, Catalonia, Barcelona, 08015, 41.388802, 2.159000, 0, 0
217.169.182.206, GeoIP City Edition, Rev 1: CZ, 52, Hlavni mesto Praha, Prague, 140 00, 50.071201, 14.275800, 0, 0
200.29.109.193, GeoIP City Edition, Rev 1: CO, 29, Valle del Cauca, Cali, 760001, 3.437200, -76.522499, 0, 0
86.141.63.175, GeoIP City Edition, Rev 1: GB, N1, St. Helens, Cannock, WS11, 52.683300, -2.016700, 0, 0
51.161.57.117, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
91.121.164.132, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
47.17.177.110, GeoIP City Edition, Rev 1: US, NY, New York, Brooklyn, 11230, 40.622501, -73.966202, 501, 718
157.230.116.65, GeoIP City Edition, Rev 1: US, GA, Georgia, Duluth, 30097, 34.040798, -84.166496, 524, 770
51.91.255.147, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
51.91.248.152, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
51.91.250.197, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
221.181.185.148, GeoIP City Edition, Rev 1: CN, 04, Jiangsu, Nanjing, N/A, 32.061699, 118.777802, 0, 0
23.249.127.57, GeoIP City Edition, Rev 1: CA, ON, Ontario, Niagara Falls, L2E, 43.053699, -79.101799, 0, 0
62.210.136.99, GeoIP City Edition, Rev 1: FR, A8, Ile-de-France, Asnières, 92600, 48.916698, 2.283300, 0, 0
51.91.111.73, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
2.136.179.77, GeoIP City Edition, Rev 1: ES, 56, Catalonia, Barcelona, 08015, 41.388802, 2.159000, 0, 0
217.169.182.206, GeoIP City Edition, Rev 1: CZ, 52, Hlavni mesto Praha, Prague, 140 00, 50.071201, 14.275800, 0, 0
200.29.109.193, GeoIP City Edition, Rev 1: CO, 29, Valle del Cauca, Cali, 760001, 3.437200, -76.522499, 0, 0
86.141.63.175, GeoIP City Edition, Rev 1: GB, N1, St. Helens, Cannock, WS11, 52.683300, -2.016700, 0, 0
51.161.57.117, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
91.121.164.132, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
47.17.177.110, GeoIP City Edition, Rev 1: US, NY, New York, Brooklyn, 11230, 40.622501, -73.966202, 501, 718
157.230.116.65, GeoIP City Edition, Rev 1: US, GA, Georgia, Duluth, 30097, 34.040798, -84.166496, 524, 770
51.91.255.147, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
51.91.248.152, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
51.91.250.197, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
221.181.185.18, GeoIP City Edition, Rev 1: CN, 04, Jiangsu, Nanjing, N/A, 32.061699, 118.777802, 0, 0
221.181.185.68, GeoIP City Edition, Rev 1: CN, 04, Jiangsu, Nanjing, N/A, 32.061699, 118.777802, 0, 0
23.249.127.57, GeoIP City Edition, Rev 1: CA, ON, Ontario, Niagara Falls, L2E, 43.053699, -79.101799, 0, 0
62.210.136.99, GeoIP City Edition, Rev 1: FR, A8, Ile-de-France, Asnières, 92600, 48.916698, 2.283300, 0, 0
51.91.111.73, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
2.136.179.77, GeoIP City Edition, Rev 1: ES, 56, Catalonia, Barcelona, 08015, 41.388802, 2.159000, 0, 0
217.169.182.206, GeoIP City Edition, Rev 1: CZ, 52, Hlavni mesto Praha, Prague, 140 00, 50.071201, 14.275800, 0, 0
200.29.109.193, GeoIP City Edition, Rev 1: CO, 29, Valle del Cauca, Cali, 760001, 3.437200, -76.522499, 0, 0
86.141.63.175, GeoIP City Edition, Rev 1: GB, N1, St. Helens, Cannock, WS11, 52.683300, -2.016700, 0, 0
51.161.57.117, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
91.121.164.132, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
47.17.177.110, GeoIP City Edition, Rev 1: US, NY, New York, Brooklyn, 11230, 40.622501, -73.966202, 501, 718
157.230.116.65, GeoIP City Edition, Rev 1: US, GA, Georgia, Duluth, 30097, 34.040798, -84.166496, 524, 770
144.34.178.90, GeoIP City Edition, Rev 1: US, MN, Minnesota, Minneapolis, 55415, 44.974098, -93.256500, 613, 612
51.91.255.147, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
51.91.248.152, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
51.91.250.197, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
23.249.127.57, GeoIP City Edition, Rev 1: CA, ON, Ontario, Niagara Falls, L2E, 43.053699, -79.101799, 0, 0
62.210.136.99, GeoIP City Edition, Rev 1: FR, A8, Ile-de-France, Asnières, 92600, 48.916698, 2.283300, 0, 0
51.91.111.73, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
2.136.179.77, GeoIP City Edition, Rev 1: ES, 56, Catalonia, Barcelona, 08015, 41.388802, 2.159000, 0, 0
217.169.182.206, GeoIP City Edition, Rev 1: CZ, 52, Hlavni mesto Praha, Prague, 140 00, 50.071201, 14.275800, 0, 0
200.29.109.193, GeoIP City Edition, Rev 1: CO, 29, Valle del Cauca, Cali, 760001, 3.437200, -76.522499, 0, 0
86.141.63.175, GeoIP City Edition, Rev 1: GB, N1, St. Helens, Cannock, WS11, 52.683300, -2.016700, 0, 0
51.161.57.117, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
188.165.210.176, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
91.121.164.132, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
47.17.177.110, GeoIP City Edition, Rev 1: US, NY, New York, Brooklyn, 11230, 40.622501, -73.966202, 501, 718
157.230.116.65, GeoIP City Edition, Rev 1: US, GA, Georgia, Duluth, 30097, 34.040798, -84.166496, 524, 770
141.98.80.70, GeoIP City Edition, Rev 1: IP Address not found
141.98.80.83, GeoIP City Edition, Rev 1: IP Address not found
141.98.80.85, GeoIP City Edition, Rev 1: IP Address not found
144.34.178.90, GeoIP City Edition, Rev 1: US, MN, Minnesota, Minneapolis, 55415, 44.974098, -93.256500, 613, 612
51.91.255.147, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
51.91.248.152, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
51.91.250.197, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
23.249.127.57, GeoIP City Edition, Rev 1: CA, ON, Ontario, Niagara Falls, L2E, 43.053699, -79.101799, 0, 0
62.210.136.99, GeoIP City Edition, Rev 1: FR, A8, Ile-de-France, Asnières, 92600, 48.916698, 2.283300, 0, 0
51.91.111.73, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
2.136.179.77, GeoIP City Edition, Rev 1: ES, 56, Catalonia, Barcelona, 08015, 41.388802, 2.159000, 0, 0
217.169.182.206, GeoIP City Edition, Rev 1: CZ, 52, Hlavni mesto Praha, Prague, 140 00, 50.071201, 14.275800, 0, 0
200.29.109.193, GeoIP City Edition, Rev 1: CO, 29, Valle del Cauca, Cali, 760001, 3.437200, -76.522499, 0, 0
86.141.63.175, GeoIP City Edition, Rev 1: GB, N1, St. Helens, Cannock, WS11, 52.683300, -2.016700, 0, 0
51.161.57.117, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
188.165.210.176, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
91.121.164.132, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
47.17.177.110, GeoIP City Edition, Rev 1: US, NY, New York, Brooklyn, 11230, 40.622501, -73.966202, 501, 718
157.230.116.65, GeoIP City Edition, Rev 1: US, GA, Georgia, Duluth, 30097, 34.040798, -84.166496, 524, 770
144.34.178.90, GeoIP City Edition, Rev 1: US, MN, Minnesota, Minneapolis, 55415, 44.974098, -93.256500, 613, 612
51.91.255.147, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
51.91.248.152, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
51.91.250.197, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
23.249.127.57, GeoIP City Edition, Rev 1: CA, ON, Ontario, Niagara Falls, L2E, 43.053699, -79.101799, 0, 0
171.25.209.203, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
49.235.244.43, GeoIP City Edition, Rev 1: CN, 22, Beijing, Beijing, N/A, 39.928902, 116.388298, 0, 0
62.210.136.99, GeoIP City Edition, Rev 1: FR, A8, Ile-de-France, Asnières, 92600, 48.916698, 2.283300, 0, 0
51.91.111.73, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
2.136.179.77, GeoIP City Edition, Rev 1: ES, 56, Catalonia, Barcelona, 08015, 41.388802, 2.159000, 0, 0
217.169.182.206, GeoIP City Edition, Rev 1: CZ, 52, Hlavni mesto Praha, Prague, 140 00, 50.071201, 14.275800, 0, 0
200.29.109.193, GeoIP City Edition, Rev 1: CO, 29, Valle del Cauca, Cali, 760001, 3.437200, -76.522499, 0, 0
86.141.63.175, GeoIP City Edition, Rev 1: GB, N1, St. Helens, Cannock, WS11, 52.683300, -2.016700, 0, 0
51.161.57.117, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
188.165.210.176, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
91.121.164.132, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
47.17.177.110, GeoIP City Edition, Rev 1: US, NY, New York, Brooklyn, 11230, 40.622501, -73.966202, 501, 718
157.230.116.65, GeoIP City Edition, Rev 1: US, GA, Georgia, Duluth, 30097, 34.040798, -84.166496, 524, 770
114.67.198.134, GeoIP City Edition, Rev 1: CN, 22, Beijing, Beijing, N/A, 39.928902, 116.388298, 0, 0
144.34.178.90, GeoIP City Edition, Rev 1: US, MN, Minnesota, Minneapolis, 55415, 44.974098, -93.256500, 613, 612
51.91.255.147, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
51.91.248.152, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
51.91.250.197, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
222.187.238.57, GeoIP City Edition, Rev 1: CN, 04, Jiangsu, Nanjing, N/A, 32.061699, 118.777802, 0, 0
23.249.127.57, GeoIP City Edition, Rev 1: CA, ON, Ontario, Niagara Falls, L2E, 43.053699, -79.101799, 0, 0
171.25.209.203, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
62.210.136.99, GeoIP City Edition, Rev 1: FR, A8, Ile-de-France, Asnières, 92600, 48.916698, 2.283300, 0, 0
51.91.111.73, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
2.136.179.77, GeoIP City Edition, Rev 1: ES, 56, Catalonia, Barcelona, 08015, 41.388802, 2.159000, 0, 0
217.169.182.206, GeoIP City Edition, Rev 1: CZ, 52, Hlavni mesto Praha, Prague, 140 00, 50.071201, 14.275800, 0, 0
200.29.109.193, GeoIP City Edition, Rev 1: CO, 29, Valle del Cauca, Cali, 760001, 3.437200, -76.522499, 0, 0
86.141.63.175, GeoIP City Edition, Rev 1: GB, N1, St. Helens, Cannock, WS11, 52.683300, -2.016700, 0, 0
51.161.57.117, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
188.165.210.176, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
91.121.164.132, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
47.17.177.110, GeoIP City Edition, Rev 1: US, NY, New York, Brooklyn, 11230, 40.622501, -73.966202, 501, 718
157.230.116.65, GeoIP City Edition, Rev 1: US, GA, Georgia, Duluth, 30097, 34.040798, -84.166496, 524, 770
144.34.178.90, GeoIP City Edition, Rev 1: US, MN, Minnesota, Minneapolis, 55415, 44.974098, -93.256500, 613, 612
51.91.255.147, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
51.91.248.152, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
51.91.250.197, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
23.249.127.57, GeoIP City Edition, Rev 1: CA, ON, Ontario, Niagara Falls, L2E, 43.053699, -79.101799, 0, 0
171.25.209.203, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
62.210.136.99, GeoIP City Edition, Rev 1: FR, A8, Ile-de-France, Asnières, 92600, 48.916698, 2.283300, 0, 0
51.91.111.73, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
2.136.179.77, GeoIP City Edition, Rev 1: ES, 56, Catalonia, Barcelona, 08015, 41.388802, 2.159000, 0, 0
217.169.182.206, GeoIP City Edition, Rev 1: CZ, 52, Hlavni mesto Praha, Prague, 140 00, 50.071201, 14.275800, 0, 0
200.29.109.193, GeoIP City Edition, Rev 1: CO, 29, Valle del Cauca, Cali, 760001, 3.437200, -76.522499, 0, 0
86.141.63.175, GeoIP City Edition, Rev 1: GB, N1, St. Helens, Cannock, WS11, 52.683300, -2.016700, 0, 0
51.161.57.117, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
188.165.210.176, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
91.121.164.132, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
47.17.177.110, GeoIP City Edition, Rev 1: US, NY, New York, Brooklyn, 11230, 40.622501, -73.966202, 501, 718
157.230.116.65, GeoIP City Edition, Rev 1: US, GA, Georgia, Duluth, 30097, 34.040798, -84.166496, 524, 770
144.34.178.90, GeoIP City Edition, Rev 1: US, MN, Minnesota, Minneapolis, 55415, 44.974098, -93.256500, 613, 612
51.91.255.147, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
51.91.248.152, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
51.91.250.197, GeoIP City Edition, Rev 1: FR, N/A, N/A, N/A, N/A, 48.858200, 2.338700, 0, 0
